category,explanation,n_total,n_excluded,n_analyzed,mean_los,median_los,min_los,max_los,sd_los,q1_los,q3_los,facility,classification
ELBW,Included in analysis,147,3,144,41.865012538580245,41.265277777777776,0.33611111111111114,166.74722222222223,31.34042095465009,17.02361111111111,58.45295138888889,Overall,Birthweight
VLBW,Included in analysis,1722,13,1709,26.83348977634744,24.877777777777776,0.007638888888888889,152.19375,15.766783189344261,16.365277777777777,34.924305555555556,Overall,Birthweight
LBW,Included in analysis,7349,50,7299,7.949513156292341,4.7756944444444445,0.005555555555555556,171.8659722222222,11.788167521666344,1.8197916666666667,9.828125,Overall,Birthweight
NBW,Included in analysis,14542,104,14438,5.081550614889717,2.658333333333333,0,175.86944444444444,9.587744005954058,1.4034722222222222,5.338020833333333,Overall,Birthweight
HBW,Included in analysis,945,9,936,3.199547424026591,1.1802083333333333,0.00625,65.78541666666666,6.284361321368033,0.7571180555555556,2.6430555555555557,Overall,Birthweight
Total,All survivors considered,24705,179,24526,7.5949073035871,3.5440972222222222,0,175.86944444444444,12.537565291646168,1.5347222222222223,7.832465277777779,Overall,Birthweight
Term-AGA,Included in analysis,11205,80,11125,4.942316042446945,2.504166666666667,0.001388888888888889,175.86944444444444,9.181483901852792,1.2861111111111112,5.170138888888889,Overall,SGA
Term-SGA,Included in analysis,5291,43,5248,5.592785479124321,2.8024305555555555,0,166.92430555555555,10.790001184153716,1.4619791666666666,5.734895833333333,Overall,SGA
Preterm-AGA,Included in analysis,5814,41,5773,11.094648940470007,5.857638888888889,0.004861111111111111,162.50833333333333,14.59635431172767,2.0652777777777778,13.947222222222223,Overall,SGA
Preterm-SGA,Included in analysis,2395,15,2380,15.91978320494864,10.257638888888888,0.007638888888888889,171.8659722222222,17.657717315357196,3.909375,23.017534722222223,Overall,SGA
Total,All survivors considered,24705,179,24526,7.5949073035871,3.5440972222222222,0,175.86944444444444,12.537565291646168,1.5347222222222223,7.832465277777779,Overall,SGA
