facility,category,explanation,n_total,n_excluded,n_analyzed,mean_los,median_los,min_los,max_los,sd_los,q1_los,q3_los,classification
KCH,ELBW,Included in analysis,87,0,87,49.55965836526181,49.66736111111111,0.8166666666666667,154.9284722222222,29.252838211033403,33.74930555555556,60.797916666666666,Birthweight
KCH,VLBW,Included in analysis,1094,1,1093,26.810815035071666,24.688194444444445,0.010416666666666666,152.19375,16.35175026325471,15.827083333333333,35.081944444444446,Birthweight
KCH,LBW,Included in analysis,2911,3,2908,10.123945676677366,6.5777777777777775,0.006944444444444444,166.92430555555555,12.769629741043527,3.6475694444444446,12.630555555555556,Birthweight
KCH,NBW,Included in analysis,3950,3,3947,8.405147897137066,4.940277777777778,0.001388888888888889,166.65347222222223,12.606709056614086,3.2888888888888888,8.048263888888888,Birthweight
KCH,HBW,Included in analysis,165,0,165,7.272537878787879,3.977777777777778,0.020833333333333332,58.69513888888889,9.677205156299102,1.1625,7.7125,Birthweight
KCH,Total,All survivors considered,8207,7,8200,11.881882029132788,6.121874999999999,0.001388888888888889,166.92430555555555,15.260467609518145,3.785416666666667,14.424131944444445,Birthweight
SMCH,ELBW,Included in analysis,60,3,57,30.120553118908383,26.903472222222224,0.33611111111111114,166.74722222222223,31.010334566350256,2.248611111111111,48.833333333333336,Birthweight
SMCH,VLBW,Included in analysis,628,12,616,26.873722718253966,25.24791666666667,0.007638888888888889,115.94652777777777,14.684429491508793,16.820659722222224,34.58645833333333,Birthweight
SMCH,LBW,Included in analysis,4438,47,4391,6.509465383739467,3.2291666666666665,0.005555555555555556,171.8659722222222,10.854766106424613,1.542013888888889,8.15,Birthweight
SMCH,NBW,Included in analysis,10592,101,10491,3.831122774547496,2.0277777777777777,0,175.86944444444444,7.810807522701052,1.2118055555555556,4.020486111111111,Birthweight
SMCH,HBW,Included in analysis,780,9,771,2.3278957702839027,1.070138888888889,0.00625,65.78541666666666,4.867704869948629,0.695486111111111,1.9989583333333334,Birthweight
SMCH,Total,All survivors considered,16498,172,16326,5.441704268583173,2.282638888888889,0,175.86944444444444,10.262427350830908,1.2828125,5.3460069444444445,Birthweight
KCH,Term-AGA,Included in analysis,3231,2,3229,8.282084021540898,4.920138888888889,0.001388888888888889,166.65347222222223,12.247463287201452,3.0180555555555557,8.184722222222222,SGA
KCH,Term-SGA,Included in analysis,1134,0,1134,10.323632544581617,5.870138888888889,0.015277777777777777,166.92430555555555,14.561625383011762,3.8364583333333333,11.097222222222223,SGA
KCH,Preterm-AGA,Included in analysis,2765,5,2760,13.380809681964575,7.67986111111111,0.004861111111111111,136.92708333333334,15.526400809729967,3.9201388888888893,17.56041666666667,SGA
KCH,Preterm-SGA,Included in analysis,1077,0,1077,20.47404763747034,16.02638888888889,0.010416666666666666,160.51736111111111,19.02692252889096,6.856944444444444,28.820138888888888,SGA
KCH,Total,All survivors considered,8207,7,8200,11.881882029132788,6.121874999999999,0.001388888888888889,166.92430555555555,15.260467609518145,3.785416666666667,14.424131944444445,SGA
SMCH,Term-AGA,Included in analysis,7974,78,7896,3.5765471968929416,1.9079861111111112,0.004861111111111111,175.86944444444444,7.142830224140496,1.0713541666666666,3.797222222222222,SGA
SMCH,Term-SGA,Included in analysis,4157,43,4114,4.288755199049317,2.1899305555555557,0,160.80694444444444,9.06870895677668,1.3006944444444444,4.452604166666667,SGA
SMCH,Preterm-AGA,Included in analysis,3049,36,3013,9.000455894826125,3.923611111111111,0.005555555555555556,162.50833333333333,13.352363537780354,1.6597222222222223,10.913194444444445,SGA
SMCH,Preterm-SGA,Included in analysis,1318,15,1303,12.155437238850515,6.940972222222222,0.007638888888888889,171.8659722222222,15.465644073837792,2.3395833333333336,16.827430555555555,SGA
SMCH,Total,All survivors considered,16498,172,16326,5.441704268583173,2.282638888888889,0,175.86944444444444,10.262427350830908,1.2828125,5.3460069444444445,SGA
