category,explanation,n_total_deaths,0-1 days,1-3 days,3-7 days,7-14 days,14-21 days,>21 days,Unknown Age,facility,classification
ELBW,Included in analysis,678,296,225,83,20,10,20,24,Overall,Birthweight
VLBW,Included in analysis,1410,318,551,322,108,23,47,41,Overall,Birthweight
LBW,Included in analysis,1528,321,553,290,163,60,80,61,Overall,Birthweight
NBW,Included in analysis,1619,407,615,210,130,67,145,45,Overall,Birthweight
HBW,Included in analysis,31,11,6,8,2,1,2,1,Overall,Birthweight
Total,All deaths considered,5266,1353,1950,913,423,161,294,172,Overall,Birthweight
Term-AGA,Included in analysis,1104,282,403,146,88,46,104,35,Overall,SGA
Term-SGA,Included in analysis,864,195,320,135,97,28,65,24,Overall,SGA
Preterm-AGA,Included in analysis,2058,571,768,357,151,61,76,74,Overall,SGA
Preterm-SGA,Included in analysis,1240,305,459,275,87,26,49,39,Overall,SGA
Total,All deaths considered,5266,1353,1950,913,423,161,294,172,Overall,SGA
