facility,sb_timing,category,explanation,n,percentage,classification
KCH,Early stillbirth (22-27+6w),ELBW,Included in analysis,22,62.857142857142854,Birthweight
KCH,Early stillbirth (22-27+6w),VLBW,Included in analysis,13,37.142857142857146,Birthweight
KCH,Early stillbirth (22-27+6w),Total,All deliveries considered,35,100,Birthweight
KCH,Late stillbirth (>=28w),ELBW,Included in analysis,29,7.213930348258707,Birthweight
KCH,Late stillbirth (>=28w),VLBW,Included in analysis,97,24.129353233830848,Birthweight
KCH,Late stillbirth (>=28w),LBW,Included in analysis,160,39.800995024875625,Birthweight
KCH,Late stillbirth (>=28w),NBW,Included in analysis,111,27.611940298507463,Birthweight
KCH,Late stillbirth (>=28w),HBW,Included in analysis,5,1.2437810945273633,Birthweight
KCH,Late stillbirth (>=28w),Total,All deliveries considered,402,100,Birthweight
SMCH,Early stillbirth (22-27+6w),ELBW,Included in analysis,509,83.993399339934,Birthweight
SMCH,Early stillbirth (22-27+6w),VLBW,Included in analysis,80,13.2013201320132,Birthweight
SMCH,Early stillbirth (22-27+6w),LBW,Included in analysis,16,2.6402640264026402,Birthweight
SMCH,Early stillbirth (22-27+6w),HBW,Included in analysis,1,0.16501650165016502,Birthweight
SMCH,Early stillbirth (22-27+6w),Total,All deliveries considered,606,100,Birthweight
SMCH,Late stillbirth (>=28w),ELBW,Included in analysis,243,8.759913482335977,Birthweight
SMCH,Late stillbirth (>=28w),VLBW,Included in analysis,369,13.302090843547223,Birthweight
SMCH,Late stillbirth (>=28w),LBW,Included in analysis,862,31.074260994953136,Birthweight
SMCH,Late stillbirth (>=28w),NBW,Included in analysis,1255,45.24152847873108,Birthweight
SMCH,Late stillbirth (>=28w),HBW,Included in analysis,45,1.6222062004325881,Birthweight
SMCH,Late stillbirth (>=28w),Total,All deliveries considered,2774,100,Birthweight
KCH,Early stillbirth (22-27+6w),Preterm-AGA,Included in analysis,26,74.28571428571429,SGA
KCH,Early stillbirth (22-27+6w),Preterm-SGA,Included in analysis,9,25.71428571428571,SGA
KCH,Early stillbirth (22-27+6w),Total,All deliveries considered,35,100,SGA
KCH,Late stillbirth (>=28w),Term-AGA,Included in analysis,65,16.169154228855724,SGA
KCH,Late stillbirth (>=28w),Term-SGA,Included in analysis,37,9.203980099502488,SGA
KCH,Late stillbirth (>=28w),Preterm-AGA,Included in analysis,215,53.482587064676615,SGA
KCH,Late stillbirth (>=28w),Preterm-SGA,Included in analysis,85,21.144278606965177,SGA
KCH,Late stillbirth (>=28w),Total,All deliveries considered,402,100,SGA
SMCH,Early stillbirth (22-27+6w),Preterm-AGA,Included in analysis,329,54.290429042904286,SGA
SMCH,Early stillbirth (22-27+6w),Preterm-SGA,Included in analysis,277,45.70957095709571,SGA
SMCH,Early stillbirth (22-27+6w),Total,All deliveries considered,606,100,SGA
SMCH,Late stillbirth (>=28w),Term-AGA,Included in analysis,764,27.54145638067772,SGA
SMCH,Late stillbirth (>=28w),Term-SGA,Included in analysis,541,19.50252343186734,SGA
SMCH,Late stillbirth (>=28w),Preterm-AGA,Included in analysis,852,30.713770728190337,SGA
SMCH,Late stillbirth (>=28w),Preterm-SGA,Included in analysis,617,22.2422494592646,SGA
SMCH,Late stillbirth (>=28w),Total,All deliveries considered,2774,100,SGA
