scope,comparison,season,reference,n_total,n_outcome,OR,CI_lower,CI_upper,p_value,significant
Global,Any-LBW vs NBW,Warm and wet,Cool and dry,72508,14976,1.01,0.962,1.061,0.69024,FALSE
Global,Any-LBW vs NBW,Cool and wet,Cool and dry,72508,14976,1.024,0.965,1.087,0.43262,FALSE
Global,Any-LBW vs NBW,Warm and dry,Cool and dry,72508,14976,0.923,0.857,0.992,0.03045,TRUE
Global,Any-LBW vs NBW,Hot and dry,Cool and dry,72508,14976,0.857,0.807,0.91,0,TRUE
Global,SGA vs AGA,Warm and wet,Cool and dry,73835,21724,1.101,1.054,1.15,2e-5,TRUE
Global,SGA vs AGA,Cool and wet,Cool and dry,73835,21724,1.144,1.085,1.206,0,TRUE
Global,SGA vs AGA,Warm and dry,Cool and dry,73835,21724,0.94,0.88,1.002,0.05941,FALSE
Global,SGA vs AGA,Hot and dry,Cool and dry,73835,21724,0.977,0.927,1.029,0.38196,FALSE
Global,Preterm vs Term,Warm and wet,Cool and dry,73835,14509,0.983,0.936,1.033,0.50468,FALSE
Global,Preterm vs Term,Cool and wet,Cool and dry,73835,14509,0.936,0.881,0.995,0.03433,TRUE
Global,Preterm vs Term,Warm and dry,Cool and dry,73835,14509,0.931,0.865,1.001,0.05449,FALSE
Global,Preterm vs Term,Hot and dry,Cool and dry,73835,14509,0.871,0.821,0.925,1e-5,TRUE
KCH,Any-LBW vs NBW,Warm and wet,Cool and dry,7150,3094,1.175,1.042,1.326,0.00858,TRUE
KCH,Any-LBW vs NBW,Cool and wet,Cool and dry,7150,3094,0.933,0.801,1.085,0.36963,FALSE
KCH,Any-LBW vs NBW,Warm and dry,Cool and dry,7150,3094,0.988,0.83,1.174,0.88697,FALSE
KCH,Any-LBW vs NBW,Hot and dry,Cool and dry,7150,3094,1.061,0.908,1.24,0.45197,FALSE
KCH,SGA vs AGA,Warm and wet,Cool and dry,7299,1495,1.151,0.995,1.332,0.05889,FALSE
KCH,SGA vs AGA,Cool and wet,Cool and dry,7299,1495,1.012,0.841,1.216,0.90014,FALSE
KCH,SGA vs AGA,Warm and dry,Cool and dry,7299,1495,0.988,0.797,1.221,0.9149,FALSE
KCH,SGA vs AGA,Hot and dry,Cool and dry,7299,1495,0.955,0.787,1.157,0.64287,FALSE
KCH,Preterm vs Term,Warm and wet,Cool and dry,7299,3369,1.227,1.09,1.382,7.3e-4,TRUE
KCH,Preterm vs Term,Cool and wet,Cool and dry,7299,3369,0.936,0.807,1.086,0.38338,FALSE
KCH,Preterm vs Term,Warm and dry,Cool and dry,7299,3369,0.969,0.817,1.149,0.71964,FALSE
KCH,Preterm vs Term,Hot and dry,Cool and dry,7299,3369,1.091,0.936,1.271,0.26319,FALSE
SMCH,Any-LBW vs NBW,Warm and wet,Cool and dry,65358,11882,1.059,1.002,1.119,0.04184,TRUE
SMCH,Any-LBW vs NBW,Cool and wet,Cool and dry,65358,11882,1.106,1.035,1.182,0.00284,TRUE
SMCH,Any-LBW vs NBW,Warm and dry,Cool and dry,65358,11882,0.935,0.861,1.015,0.11087,FALSE
SMCH,Any-LBW vs NBW,Hot and dry,Cool and dry,65358,11882,0.905,0.846,0.967,0.00314,TRUE
SMCH,SGA vs AGA,Warm and wet,Cool and dry,66536,20229,1.074,1.026,1.125,0.00219,TRUE
SMCH,SGA vs AGA,Cool and wet,Cool and dry,66536,20229,1.136,1.074,1.2,1e-5,TRUE
SMCH,SGA vs AGA,Warm and dry,Cool and dry,66536,20229,0.926,0.864,0.991,0.02639,TRUE
SMCH,SGA vs AGA,Hot and dry,Cool and dry,66536,20229,0.952,0.902,1.006,0.08037,FALSE
SMCH,Preterm vs Term,Warm and wet,Cool and dry,66536,11140,1.031,0.975,1.09,0.2912,FALSE
SMCH,Preterm vs Term,Cool and wet,Cool and dry,66536,11140,1.003,0.937,1.075,0.92534,FALSE
SMCH,Preterm vs Term,Warm and dry,Cool and dry,66536,11140,0.956,0.879,1.039,0.28958,FALSE
SMCH,Preterm vs Term,Hot and dry,Cool and dry,66536,11140,0.932,0.871,0.997,0.03955,TRUE
