facility,age_interval,Term-AGA_NND,Term-AGA_DC,Term-SGA_NND,Term-SGA_DC,Preterm-AGA_NND,Preterm-AGA_DC,Preterm-SGA_NND,Preterm-SGA_DC,Discarded_NND,Discarded_DC,Missing BW_NND,Missing BW_DC,Missing GA_NND,Missing GA_DC,Missing both BW and GA_NND,Missing both BW and GA_DC,Total_NND,Total_DC,classification
KCH,< 16,3,15,3,4,3,25,1,3,0,0,0,0,0,0,0,0,10,47,SGA
KCH,16 - 19,101,499,55,182,178,538,108,222,0,0,0,0,0,0,0,0,442,1441,SGA
KCH,20 - 24,114,807,53,331,199,691,119,260,0,0,0,0,0,0,0,0,485,2089,SGA
KCH,25 - 34,118,1404,65,425,267,1041,152,417,0,0,0,0,0,0,0,0,602,3287,SGA
KCH,>= 35,56,379,33,130,94,354,69,127,0,0,0,0,0,0,0,0,252,990,SGA
SMCH,< 16,4,40,11,33,9,19,5,16,0,0,0,0,0,0,0,0,29,108,SGA
SMCH,16 - 19,114,871,130,607,226,425,109,137,0,0,0,0,0,0,0,0,579,2040,SGA
SMCH,20 - 24,188,1922,159,1101,304,751,177,295,0,0,0,0,0,0,0,0,828,4069,SGA
SMCH,25 - 34,204,2774,161,1248,366,1005,212,462,0,0,0,0,0,0,0,0,943,5489,SGA
SMCH,>= 35,73,1047,58,448,135,379,100,163,0,0,0,0,0,0,0,0,366,2037,SGA
