facility,age_interval,ELBW_NND,ELBW_DC,VLBW_NND,VLBW_DC,LBW_NND,LBW_DC,NBW_NND,NBW_DC,HBW_NND,HBW_DC,Discarded_NND,Discarded_DC,Missing BW_NND,Missing BW_DC,Missing GA_NND,Missing GA_DC,Missing both BW and GA_NND,Missing both BW and GA_DC,Total_NND,Total_DC,classification
KCH,< 16,2,0,1,5,4,20,3,21,0,0,1,1,0,0,0,0,0,0,11,47,Birthweight
KCH,16 - 19,44,13,129,224,138,560,136,631,2,9,6,21,0,0,0,0,0,0,455,1458,Birthweight
KCH,20 - 24,73,15,153,260,128,746,142,1033,2,25,13,20,0,0,0,0,0,0,511,2099,Birthweight
KCH,25 - 34,112,29,179,404,152,1086,160,1662,5,96,8,25,0,0,0,0,0,0,616,3302,Birthweight
KCH,>= 35,31,15,80,137,69,371,69,435,3,31,1,9,0,0,0,0,0,0,253,998,Birthweight
SMCH,< 16,4,2,8,8,12,38,5,64,0,0,0,0,0,0,0,0,0,0,29,112,Birthweight
SMCH,16 - 19,76,7,125,62,209,591,205,1377,1,42,2,8,0,0,0,0,0,0,618,2087,Birthweight
SMCH,20 - 24,108,11,213,150,250,1077,293,2775,4,136,2,16,0,0,0,0,0,0,870,4165,Birthweight
SMCH,25 - 34,161,17,246,196,270,1502,312,3521,8,370,7,34,0,0,0,0,0,0,1004,5640,Birthweight
SMCH,>= 35,54,12,105,79,113,524,110,1298,8,150,1,12,0,0,0,0,0,0,391,2075,Birthweight
