facility,hiv_group,Term-AGA_NND,Term-AGA_DC,Term-SGA_NND,Term-SGA_DC,Preterm-AGA_NND,Preterm-AGA_DC,Preterm-SGA_NND,Preterm-SGA_DC,Discarded_NND,Discarded_DC,Missing BW_NND,Missing BW_DC,Missing GA_NND,Missing GA_DC,Missing both BW and GA_NND,Missing both BW and GA_DC,Total_NND,Total_DC,classification
KCH,HIV False (No Test),64,365,31,131,135,317,85,139,0,0,9,14,4,1,0,0,328,967,SGA
KCH,HIV True (Tested),207,1537,116,545,390,1290,229,535,0,0,16,38,7,10,0,0,965,3955,SGA
KCH,HIV True & Reactive,5,90,11,41,29,95,12,29,0,0,1,4,0,1,0,0,58,260,SGA
KCH,HIV True & Non-Reactive,201,1446,104,503,359,1194,217,505,0,0,15,34,7,9,0,0,903,3691,SGA
KCH,HIV True & Unknown,1,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,4,4,SGA
KCH,HIV test NA,152,1416,78,482,282,1227,193,429,0,0,4,31,7,9,0,0,716,3594,SGA
SMCH,HIV False (No Test),41,500,58,339,305,423,175,191,0,0,3,6,52,13,0,0,634,1472,SGA
SMCH,HIV True (Tested),659,7689,601,3956,956,2671,560,1142,0,0,9,69,89,205,1,2,2875,15734,SGA
SMCH,HIV True & Reactive,61,655,50,418,82,277,72,138,0,0,2,6,7,22,0,0,274,1516,SGA
SMCH,HIV True & Non-Reactive,592,6984,547,3507,858,2365,476,991,0,0,7,62,81,182,1,2,2562,14093,SGA
SMCH,HIV True & Unknown,6,50,4,31,16,29,12,13,0,0,0,1,1,1,0,0,39,125,SGA
SMCH,HIV test NA,14,167,10,90,13,70,15,31,0,0,1,0,4,12,0,0,57,370,SGA
